nNoBorne,sTerrain,sNomRuePrincipale,sStatut,nLongitude,nLatitude,Lun,Mar,Mer,Jeu,Ven,Sam,Dim,dtHeureDebutAP,dtHeureFinAP,nTarifHoraire,nMax
10058,24,Terrain 024 - St-André,A,-73.605339563046769000,45.538080625694938000,True,True,True,True,True,True,True,00:00:00,23:59:59,300,1300
10059,24,Terrain 024 - St-André,A,-73.604797065810331000,45.537765520634423000,True,True,True,True,True,True,True,00:00:00,23:59:59,300,1300
10071,115,Terrain 115 - Remembrance,A,-73.600093915324521000,45.499197680278037000,True,True,True,True,True,True,True,06:00:00,23:59:59,425,1500
10072,115,Terrain 115 - Remembrance,A,-73.599696610153586000,45.499794475520055000,True,True,True,True,True,True,True,06:00:00,23:59:59,425,1500
10073,116,Terrain 116 - Remembrance,A,-73.601207764828956000,45.498399058007820000,True,True,True,True,True,True,True,06:00:00,23:59:59,425,1500
10074,116,Terrain 116 - Remembrance,A,-73.600755065576891000,45.498925947774410000,True,True,True,True,True,True,True,06:00:00,23:59:59,425,1500
10075,117,Terrain 117 - Remembrance,A,-73.594946526164307000,45.501762496858852000,True,True,True,True,True,True,True,06:00:00,23:59:59,425,1500
10076,117,Terrain 117 - Remembrance,A,-73.594352566232345000,45.501771591131849000,True,True,True,True,True,True,True,06:00:00,23:59:59,425,1500
10077,117,Terrain 117 - Remembrance,A,-73.593724721715390000,45.501767591153836000,True,True,True,True,True,True,True,06:00:00,23:59:59,425,1500
10078,117,Terrain 117 - Remembrance,A,-73.593938542722157000,45.501433960595143000,True,True,True,True,True,True,True,06:00:00,23:59:59,425,1500
10079,117,Terrain 117 - Remembrance,A,-73.594823993213467000,45.501362600036686000,True,True,True,True,True,True,True,06:00:00,23:59:59,425,1500
10080,118,Terrain 118 - Remembrance,A,-73.594274465490798000,45.502671570515261000,True,True,True,True,True,True,True,06:00:00,23:59:59,425,1500
10081,118,Terrain 118 - Remembrance,A,-73.593677997777178000,45.502629501060113000,True,True,True,True,True,True,True,06:00:00,23:59:59,425,1500
10083,139,Terrain 139 - Calixa-Lavallée,A,-73.565329468872207000,45.524192468593917000,True,True,True,True,True,True,True,00:00:00,23:59:59,450,1700
10084,139,Terrain 139 - Calixa-Lavallée,A,-73.565501722782557000,45.523618108182696000,True,True,True,True,True,True,True,00:00:00,23:59:59,450,1700
