nNoBorne,sStatut,sNomRue,sZoneGroupeCode,nLongitude,nLatitude,sTypeExploitation
10007,A,Sainte-Catherine,B-C-D-J,-73.575222619530479000,45.497866173540572000,Régulier Payez-Partez
10009,A,Mackay,B-C-D-J,-73.576808956420081000,45.495816897594985000,Régulier Payez-Partez
10013,A,Bishop,B-C-D-J,-73.577890940711555000,45.497370382816555000,Régulier Payez-Partez
10014,A,Bishop,B-C-D-J,-73.576529326095454000,45.496558238196776000,Régulier Payez-Partez
10017,A,Bishop,B-C-D-J,-73.576172840509685000,45.496525578341952000,Régulier Payez-Partez
10019,A,Bishop,B-C-D-J,-73.573800120288652000,45.495389121688824000,Régulier Payez-Partez
10020,A,Crescent,B-C-D-J,-73.575894729128279000,45.497198184155323000,Régulier Payez-Partez
10023,A,Crescent,B-C-D-J,-73.577259921569436000,45.498021863954833000,Régulier Payez-Partez
10025,A,Crescent,B-C-D-J,-73.575515535049703000,45.497156074480785000,Régulier Payez-Partez
10026,A,Crescent,BASE COURTE ,-73.573154419299811000,45.496013364347931000,Régulier Payez-Partez
10027,A,Robert-Bourassa,J-K-L-M,-73.564879100890423000,45.500410055326270000,Régulier Payez-Partez
10028,A,Saint-Jacques,K-M-N-P,-73.561393905917598000,45.500423280661231000,Régulier Payez-Partez
10030,A,Saint-Jacques,K-M-N-P,-73.561468752631583000,45.500097793052554000,Régulier Payez-Partez
10033,A,Saint-Antoine,K-M-N-P,-73.562315176306967000,45.500772289835851000,Régulier Payez-Partez
10039,A,Viger,K-M-N-P,-73.562752596464449000,45.502614275615464000,Régulier Payez-Partez
10046,A,Viger,K-M-N-P,-73.561344322660076000,45.504548380137464000,Régulier Payez-Partez
10048,A,Viger,K-M-N-P,-73.560025285391745000,45.506272828465704000,Régulier Payez-Partez
10064,A,072 (nord ave Mont-Royal) - voie 1,PD-PH-PJ-PK,-73.576138030784620000,45.532042179585034000,Régulier Payez-Partez
10065,A,073 (nord Masson) - voie 1,RA-RB-RC-RD,-73.575381692802864000,45.548524484021208000,Régulier Payez-Partez
10066,A,075 (nord Masson) - voie 1,AB-AC-AD-AE,-73.574687491552851000,45.549691881139104000,Régulier Payez-Partez
10067,A,078 (Boyer sud Bélanger) Niveau C,RA-RB-RC-VA,-73.608566069863272000,45.539636941969682000,Régulier Payez-Partez
10068,A,078 (Boyer sud Bélanger) Niveau A,RA-RB-RC-VA,-73.608707971759444000,45.539337152205420000,Parcojour Payez-Partez
10070,A,078 (Boyer sud Bélanger) Niveau B,RA-RB-RC-VA,-73.608779766041266000,45.539535255029172000,Régulier Payez-Partez
10102,A,303  (sud de Beaubien) voie 1 ,RB-RC-RD-VB,-73.601606024801626000,45.535992424017088000,Régulier Payez-Partez
10111,A,René-Lévesque,B-C-D-J,-73.574404148206455000,45.494666134575155000,Régulier Payez-Partez
10114,A,Mackay,BASE COURTE ,-73.578514619157616000,45.496612786368857000,Régulier Payez-Partez
10120,A,Sainte-Catherine,BASE COURTE ,-73.579174984031397000,45.493991120671566000,Régulier Payez-Partez
10121,A,Sainte-Catherine,A-B-C-J,-73.580242588796167000,45.492875065882487000,Régulier Payez-Partez
10123,A,Sainte-Catherine,A-B-C-J,-73.578510776176373000,45.494554970081147000,Régulier Payez-Partez
10125,A,René-Lévesque,IMAGE AGENCE,-73.576017922199213000,45.492990241935892000,Régulier Payez-Partez
10129,A,Guy,A-B-C-J,-73.579519667891020000,45.495686395780766000,Régulier Payez-Partez
10131,A,Guy,A-B-C-J,-73.576357870892338000,45.494286214167765000,Régulier Payez-Partez
10132,A,Sainte-Catherine,BASE COURTE ,-73.577635398737087000,45.495126486683951000,Régulier Payez-Partez
10135,A,Sherbrooke,A-B-C-R,-73.582304983457519000,45.495761880654726000,Régulier Payez-Partez
10136,A,Sherbrooke,A-B-C-R,-73.581469658821447000,45.496680441169374000,Régulier Payez-Partez
10137,A,Sherbrooke,B-C-D-R,-73.580571869452058000,45.497902778280640000,Régulier Payez-Partez
10144,A,Sherbrooke,B-C-D-R,-73.577755483577377000,45.500440237278426000,Régulier Payez-Partez
10146,A,Sherbrooke,B-D-E-R,-73.576421581839767000,45.501837440442543000,Régulier Payez-Partez
10147,A,Lincoln,A-B-C-R,-73.580474578915030000,45.495995849011713000,Régulier Payez-Partez
10151,A,Maisonneuve,B-C-D-R,-73.577069982935996000,45.498731764478009000,Régulier Payez-Partez
10153,A,Maisonneuve,B-D-E-R,-73.574204206442374000,45.501517320544430000,Régulier Payez-Partez
10154,A,Saint-Mathieu,A-B-C-R,-73.581572100127161000,45.495092237628633000,Régulier Payez-Partez
10157,A,Guy,A-B-C-R,-73.580142784941529000,45.496137603702010000,Régulier Payez-Partez
10159,A,Simpson,A-B-C-R,-73.581294552315157000,45.497238050550848000,Régulier Payez-Partez
